name,company,designation,image_url,qrcode
User1,Viral Collab,HR Executive,C:\Users\crp13\Desktop\badgelogo.png,4E42VVQQ4X
User2,TechNova,Data Analyst,C:\Users\crp13\Desktop\badgelogo.png,LKLG3U1LZW
User3,NextGen Solutions,Data Analyst,C:\Users\crp13\Desktop\badgelogo.png,RIA6JCS9GY
User4,InnoSoft,Designer,C:\Users\crp13\Desktop\badgelogo.png,8KU5PVM40X
User5,Viral Collab,Designer,C:\Users\crp13\Desktop\badgelogo.png,VE4OWFVV74
User6,Viral Collab,Designer,C:\Users\crp13\Desktop\badgelogo.png,8TD56ZT8UG
User7,TechNova,Project Manager,C:\Users\crp13\Desktop\badgelogo.png,169G47HAX4
User8,TechNova,Software Engineer,C:\Users\crp13\Desktop\badgelogo.png,XVL4M9909T
User9,InnoSoft,Software Engineer,C:\Users\crp13\Desktop\badgelogo.png,TI2VDVHGH5
User10,Viral Collab,Software Engineer,C:\Users\crp13\Desktop\badgelogo.png,H6EHD7VE83
User11,InnoSoft,Data Analyst,C:\Users\crp13\Desktop\badgelogo.png,GF9KPYMJX6
User12,Viral Collab,Project Manager,C:\Users\crp13\Desktop\badgelogo.png,BNAD60FH94
User13,Viral Collab,Designer,C:\Users\crp13\Desktop\badgelogo.png,8QC7SPQNB1
User14,Skyline Corp,Designer,C:\Users\crp13\Desktop\badgelogo.png,3FTIBO222W
User15,InnoSoft,Project Manager,C:\Users\crp13\Desktop\badgelogo.png,GOCQJT13RT
User16,TechNova,Software Engineer,C:\Users\crp13\Desktop\badgelogo.png,EHGXW6D1QT
User17,NextGen Solutions,HR Executive,C:\Users\crp13\Desktop\badgelogo.png,SBS08Z7TZS
User18,Viral Collab,Project Manager,C:\Users\crp13\Desktop\badgelogo.png,E2BKR7WFFU
User19,TechNova,Designer,C:\Users\crp13\Desktop\badgelogo.png,RJX7KXZ8KP
User20,TechNova,Project Manager,C:\Users\crp13\Desktop\badgelogo.png,K6YRLSXPSA
User21,TechNova,Data Analyst,C:\Users\crp13\Desktop\badgelogo.png,75S2VDODFP
User22,TechNova,Software Engineer,C:\Users\crp13\Desktop\badgelogo.png,FTQK7DCDFC
User23,TechNova,Data Analyst,C:\Users\crp13\Desktop\badgelogo.png,TAA15X9IBV
User24,InnoSoft,Designer,C:\Users\crp13\Desktop\badgelogo.png,S7MRW2AM9Z
User25,Viral Collab,HR Executive,C:\Users\crp13\Desktop\badgelogo.png,M7GVCO5U8F
