school_name,student_name,mobile_no,address,photo_url,rq_code
Green Valley School 8,Student_1,9546590874,"Street 50, City 2","""C:\Users\crp13\Desktop\student images.png""",354503
Green Valley School 4,Student_2,8743214131,"Street 18, City 4","""C:\Users\crp13\Desktop\student images.png""",282144
Green Valley School 8,Student_3,8503900023,"Street 2, City 1","""C:\Users\crp13\Desktop\student images.png""",238992
Green Valley School 1,Student_4,6772073227,"Street 41, City 8","""C:\Users\crp13\Desktop\student images.png""",315563
Green Valley School 4,Student_5,9434539506,"Street 39, City 9","""C:\Users\crp13\Desktop\student images.png""",745670
Green Valley School 2,Student_6,9351102507,"Street 29, City 16","""C:\Users\crp13\Desktop\student images.png""",484252
Green Valley School 4,Student_7,6887857553,"Street 44, City 8","""C:\Users\crp13\Desktop\student images.png""",526893
Green Valley School 6,Student_8,6725280257,"Street 45, City 6","""C:\Users\crp13\Desktop\student images.png""",536814
Green Valley School 4,Student_9,6875312786,"Street 14, City 6","""C:\Users\crp13\Desktop\student images.png""",127662
Green Valley School 3,Student_10,7312896358,"Street 4, City 17","""C:\Users\crp13\Desktop\student images.png""",623152
Green Valley School 7,Student_11,8263716028,"Street 25, City 19","""C:\Users\crp13\Desktop\student images.png""",112340
Green Valley School 4,Student_12,6034451172,"Street 45, City 14","""C:\Users\crp13\Desktop\student images.png""",560212
Green Valley School 7,Student_13,9754665375,"Street 46, City 20","""C:\Users\crp13\Desktop\student images.png""",720947
Green Valley School 6,Student_14,9841395621,"Street 13, City 11","""C:\Users\crp13\Desktop\student images.png""",379575
Green Valley School 10,Student_15,6266309671,"Street 14, City 2","""C:\Users\crp13\Desktop\student images.png""",506708
Green Valley School 7,Student_16,8239107588,"Street 31, City 2","""C:\Users\crp13\Desktop\student images.png""",399338
Green Valley School 1,Student_17,6666181958,"Street 33, City 20","""C:\Users\crp13\Desktop\student images.png""",448875
Green Valley School 9,Student_18,6886026284,"Street 42, City 5","""C:\Users\crp13\Desktop\student images.png""",184046
Green Valley School 8,Student_19,8747242738,"Street 38, City 14","""C:\Users\crp13\Desktop\student images.png""",213316
Green Valley School 5,Student_20,8471564289,"Street 38, City 20","""C:\Users\crp13\Desktop\student images.png""",346118
Green Valley School 8,Student_21,7177639285,"Street 6, City 18","""C:\Users\crp13\Desktop\student images.png""",331236
Green Valley School 7,Student_22,6707400002,"Street 16, City 3","""C:\Users\crp13\Desktop\student images.png""",118415
Green Valley School 9,Student_23,6712616393,"Street 40, City 18","""C:\Users\crp13\Desktop\student images.png""",629524
Green Valley School 8,Student_24,6190931538,"Street 13, City 2","""C:\Users\crp13\Desktop\student images.png""",968397
Green Valley School 9,Student_25,9230628781,"Street 38, City 11","""C:\Users\crp13\Desktop\student images.png""",794648
Green Valley School 6,Student_26,9486922235,"Street 28, City 1","""C:\Users\crp13\Desktop\student images.png""",489223
Green Valley School 10,Student_27,7936953390,"Street 28, City 1","""C:\Users\crp13\Desktop\student images.png""",578418
Green Valley School 1,Student_28,8225903066,"Street 14, City 11","""C:\Users\crp13\Desktop\student images.png""",673680
Green Valley School 8,Student_29,7473968639,"Street 22, City 18","""C:\Users\crp13\Desktop\student images.png""",786698
Green Valley School 8,Student_30,7913849648,"Street 37, City 14","""C:\Users\crp13\Desktop\student images.png""",477977
Green Valley School 2,Student_31,9378449909,"Street 7, City 17","""C:\Users\crp13\Desktop\student images.png""",980371
Green Valley School 3,Student_32,6554629170,"Street 8, City 6","""C:\Users\crp13\Desktop\student images.png""",356851
Green Valley School 1,Student_33,8512629319,"Street 6, City 19","""C:\Users\crp13\Desktop\student images.png""",426809
Green Valley School 6,Student_34,6382370946,"Street 3, City 1","""C:\Users\crp13\Desktop\student images.png""",992136
Green Valley School 9,Student_35,9525018430,"Street 47, City 11","""C:\Users\crp13\Desktop\student images.png""",882961
Green Valley School 1,Student_36,7875309941,"Street 21, City 15","""C:\Users\crp13\Desktop\student images.png""",988680
Green Valley School 9,Student_37,8105912323,"Street 47, City 15","""C:\Users\crp13\Desktop\student images.png""",866348
Green Valley School 10,Student_38,8482870286,"Street 27, City 19","""C:\Users\crp13\Desktop\student images.png""",619965
Green Valley School 9,Student_39,9021514666,"Street 50, City 3","""C:\Users\crp13\Desktop\student images.png""",250683
Green Valley School 9,Student_40,8803341230,"Street 6, City 13","""C:\Users\crp13\Desktop\student images.png""",370101
Green Valley School 10,Student_41,7033029675,"Street 18, City 16","""C:\Users\crp13\Desktop\student images.png""",793896
Green Valley School 10,Student_42,8496621455,"Street 18, City 2","""C:\Users\crp13\Desktop\student images.png""",996377
Green Valley School 8,Student_43,9584125208,"Street 12, City 3","""C:\Users\crp13\Desktop\student images.png""",416726
Green Valley School 2,Student_44,8272687644,"Street 31, City 8","""C:\Users\crp13\Desktop\student images.png""",705374
Green Valley School 10,Student_45,8515998196,"Street 36, City 3","""C:\Users\crp13\Desktop\student images.png""",332308
Green Valley School 9,Student_46,9261047548,"Street 48, City 2","""C:\Users\crp13\Desktop\student images.png""",644364
Green Valley School 9,Student_47,6206866790,"Street 23, City 12","""C:\Users\crp13\Desktop\student images.png""",823018
Green Valley School 1,Student_48,9674038859,"Street 10, City 1","""C:\Users\crp13\Desktop\student images.png""",881977
Green Valley School 6,Student_49,9714450736,"Street 29, City 6","""C:\Users\crp13\Desktop\student images.png""",267494
Green Valley School 2,Student_50,8172296930,"Street 22, City 11","""C:\Users\crp13\Desktop\student images.png""",807291
Green Valley School 4,Student_51,6387297234,"Street 45, City 19","""C:\Users\crp13\Desktop\student images.png""",856485
Green Valley School 1,Student_52,9857107681,"Street 10, City 6","""C:\Users\crp13\Desktop\student images.png""",332106
Green Valley School 2,Student_53,6973052557,"Street 7, City 6","""C:\Users\crp13\Desktop\student images.png""",357556
Green Valley School 1,Student_54,6613083557,"Street 27, City 8","""C:\Users\crp13\Desktop\student images.png""",668461
Green Valley School 10,Student_55,7906102486,"Street 9, City 1","""C:\Users\crp13\Desktop\student images.png""",927424
Green Valley School 8,Student_56,8072296867,"Street 40, City 16","""C:\Users\crp13\Desktop\student images.png""",864951
Green Valley School 4,Student_57,6019982785,"Street 12, City 5","""C:\Users\crp13\Desktop\student images.png""",729360
Green Valley School 10,Student_58,8167007657,"Street 12, City 12","""C:\Users\crp13\Desktop\student images.png""",728846
Green Valley School 1,Student_59,6489471391,"Street 7, City 15","""C:\Users\crp13\Desktop\student images.png""",962578
Green Valley School 3,Student_60,8305161034,"Street 21, City 20","""C:\Users\crp13\Desktop\student images.png""",132194
Green Valley School 4,Student_61,7772245173,"Street 19, City 16","""C:\Users\crp13\Desktop\student images.png""",203280
Green Valley School 1,Student_62,9428997214,"Street 38, City 8","""C:\Users\crp13\Desktop\student images.png""",943730
Green Valley School 2,Student_63,8272704695,"Street 34, City 16","""C:\Users\crp13\Desktop\student images.png""",965840
Green Valley School 3,Student_64,6108624192,"Street 9, City 9","""C:\Users\crp13\Desktop\student images.png""",160837
