name,company,designation,image_url,qrcode
Daniel Brown,TechNova Solutions,Project Manager,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-pigTHKbfoLIS
Matthew Moore,Vanguard AI,Sales Executive,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-Br1VjArnVgxw
Charlotte Martin,BrightFuture Analytics,Senior Developer,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-TH8xIZM1JRco
Isabella Williams,Infinite Loop Corp,Data Scientist,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-xCZkwPRQeNHp
Thomas Gonzalez,BrightFuture Analytics,Customer Success Manager,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-nuVdYXye4JSn
Mia Gonzalez,Crystal Clear Software,UX Designer,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-qpIqK3yn9Ffc
Sophia Jones,Apex Horizon,AI Researcher,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-KxKDpI6Qh2UV
Robert Brown,CorePulse Inc,AI Researcher,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-jaSS8VFgM0Fm
Charlotte Harris,Apex Horizon,Customer Success Manager,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-754LEgw9YooJ
Michael Williams,Momentum Networks,Product Manager,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-8HhO6kGL75UQ
Matthew Martinez,NextGen Robotics,Backend Developer,https://stimg.cardekho.com/images/carexteriorimages/630x420/Jaguar/F-Pace/10644/1755774688332/front-left-side-47.jpg,qrcode-BGhnuKoneNo4
